Matricula,Nombre_estudiante,Programa_academico,Semestre_del_alumno,Alumnos_Acreditados,Plan_de_estudios,Campus
A05571846,Bradley Bowler,IC,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A05413162,Margarett Stamps,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04770339,Barbra Maple,LAD,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A05577349,Elvira Yoder,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01495918,Fritz Callahan,ESC,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A07337310,Erlene Varner,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05871509,Verla Pleasant,NEG,,Acreditado(a),TEC21,Otro Campus
A05089833,Les Marroquin,IIT,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A04003355,Bridgette Carney,IBQ,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A05272961,Madelaine Brill,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A02701265,Leann Grimes,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A03330963,Bailey Collado,NEG,,Acreditado(a),TEC21,Otro Campus
A00518774,Deane Babin,CIS,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A08330222,Carolyn Huffman,ESC,,Acreditado(a),TEC21,Otro Campus
A07783547,Clifton Schneider,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A02102155,Shirley Mayer,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01318855,Terrell Whitmore,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A07669526,Lucrecia Rosado,LAE,Quinto Semestre,Acreditado(a),TEC21,Otro Campus
A09783091,Angelika Koehler,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A00244980,Lyndsay Schulze,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A06470226,Ligia Bowers,LDI,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A01561436,Margaret Heinrich,AMC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05914173,Penney Kline,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06179447,Shanae Pratt,AMC,,Acreditado(a),TEC21,Otro Campus
A06507358,Lauralee Coburn-Harlan,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A06971360,Zonia Dudley,IQ,,Acreditado(a),TEC21,Otro Campus
A04698153,Tran Nicholson,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01569917,Leslie Mackenzie,LTM,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A00420050,Summer Decker,LAD,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A08215865,Neely Drake,IBT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A02794265,Dick Redmon,LED,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A06053461,Laurice Myers,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A09009066,Yasmin Cupp,IC,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A02991359,Loma Haley,ARQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01374732,Joni Vo,LED,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A07273422,Ophelia Taft,ICT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A00668660,Danilo Langlois,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04917672,Jeramy Boatman,IBQ,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A03065112,Dorethea Cherry,IBQ,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A06809309,Landon Walsh,IBQ,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A04958788,Collen Lundy,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A05358523,Nerissa Gearhart,CIS,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A00671039,Harrison Olivarez,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02523107,Andy Cordova,IBQ,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A09015108,Ned Sherman,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A01244174,Mirtha Leahy,ARQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01788134,Pearle Caudle,LED,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A06026691,Benton Mendoza,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07603056,Sunday Lujan,ARQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03190097,Karisa Pickett,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A00112759,Karly Frias,CIS,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01457015,Mandy Drury,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A08554114,Rod Humphrey,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A08722005,Willena Keyes,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02710621,Delphia Shull,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07342550,Madie Maestas,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09025897,Arlen Boyer,IBQ,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A08379069,Ciara Reuter,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09638483,Albina Masterson,LAE,Cuarto Semestre,Acreditado(a),TEC21,Otro Campus
A01709108,Iona Crum,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A06282500,Claudio Ritter,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A08930237,Ailene Tan,LED,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A04697439,Anette Mazza,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06774418,Vania Buckley,NEG,,Acreditado(a),TEC21,Otro Campus
A08581299,Hermelinda Sousa,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A02009401,Donte Cuellar,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01072579,Kena Sepulveda,ARQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05367461,Nakita Carper,LAF,Cuarto Semestre,Acreditado(a),TEC21,Otro Campus
A09949718,Octavio Riggs,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A06473806,Titus Mata,IIT,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A03374100,Hobert Lincoln,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A00517310,Norah Tarver,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A04255607,Bobbye Aguirre,LTM,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A01720665,Clayton Valle,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00523377,Susann Jenson,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A08763806,Madonna Carlson,ICT,,Acreditado(a),TEC21,Otro Campus
A01379017,Rochell Mccurry,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A06856553,Johnna Jensen,LAD,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A07497102,Hue Finn,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00794454,Ha Mccorkle,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01754160,Nia Nolan,IRS,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A07992885,Lavera Lebron,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A04518872,Staci Loyd,LDI,Cuarto Semestre,Acreditado(a),TEC21,Otro Campus
A09941763,Carla Cowell,IC,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A08941304,Bert Hamblin,ARQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09928229,Floyd Mcnamara,LAF,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A03229893,Magdalena Desimone,LED,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A04089054,Palmer Hidalgo,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A03943754,Jarod Landon-Dailey,IC,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A03990696,Gabriele Hyatt-Lindstrom,LAD,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A00311332,Tashina Gill,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04372921,Paulette Denney,ICT,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A02820399,Laci Knotts,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A07701484,Claudio Thiel,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02759624,Mable Hinkle,IBQ,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01155157,Meghann Ingraham,LED,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A07136665,Hyun Culver,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A05526450,Trenton Swann,LED,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A02560985,Tonya Estep,LTM,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01539416,Jeneva Blakely,IIT,,Acreditado(a),TEC21,Otro Campus
A09528087,Bernardo Sweet,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A03953744,Magaly Longo,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07328838,Ardath Ulrich,ESC,,Acreditado(a),TEC21,Otro Campus
A02394313,Angelyn Burdette,IIT,,Acreditado(a),TEC21,Otro Campus
A07091154,Kenia Mares,NEG,,Acreditado(a),TEC21,Otro Campus
A01226949,Ammie Noriega-Schneider,IC,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A01040619,Myrna Derosa-Rosenberg,ARQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07843748,Toney Rico,IRS,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A01171483,Farrah Scarbrough,ICT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A06722907,Kathi Hedges,LAD,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A04334374,Ilda Avila,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A07892515,Aline Reaves-Denning,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03962761,Marilou Diaz,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A03380424,Chanel Hardman,LAD,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A09193848,Kalyn Dewitt,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00079289,Hortencia Altman,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02486892,Martine Smiley,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A05608533,Loriann Contreras,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A05738568,Zulma Burley,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A08572606,Edwina Reno,IID,Cuarto Semestre,Acreditado(a),TEC21,Otro Campus
A06013752,Merlin Frye,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01515941,Vi Cole,ARQ,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A09675269,Star Whitehurst,IDS,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A01068251,Josefa Hendrickson,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01785886,Karleen Dodson,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04483795,Williemae Craft,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A06874527,Cheree Jenkins,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A08893175,Shenna Walls,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02959464,Enriqueta Donley,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06410267,Bobette Tyree,AMC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04565034,Marjorie Clary,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00386070,Rosaline Ives,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A03915531,Mattie Cooks,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08163097,Lavelle Freeland,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08842481,Danica Barger,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05379088,Wilford Thomsen,LED,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A04818629,Merle Edgar,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03627210,Nola Petty,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A04714627,Alexis Lemke-Blackmon,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A05598568,Marylouise Faber-Seal,LC,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A05037199,Kamilah Harbin,IIS,Sexto Semestre,Acreditado(a),TEC21,Otro Campus
A01420995,Earnestine Grenier,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01131642,Reid Spurgeon,LC,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A04434138,Neda Mcknight-Brenner,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A06972647,Shamika Clements,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A04655221,Regenia Mcneal,NEG,,Acreditado(a),TEC21,Otro Campus
A06252611,Shari Riddick,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A00367437,Chan Tyler,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08427536,Liane Trask,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A02175746,Elfriede Flint,ICT,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A04117015,Candyce Coble,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A03635406,Elena Kong,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02914951,Elene Dang,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09504552,Earnestine Doran,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03167409,Huong Barbee,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09778561,Candis Domingo,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A02634685,Gwendolyn Chaffin,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00508284,Donette Spellman,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03346422,Marielle Sayre,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A01621046,Arvilla Mullin,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01616146,Laure Franco,ICT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A05663360,Arnoldo Mcnulty,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A08845296,Suzann Yeager,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A06062351,Debera Augustine,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07036533,Giuseppe Sisk,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A03468874,Alonso Wendt,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00803744,Thomasine Mowery,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01656660,Marcelina Soares,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01000129,Coral Richardson,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A07340085,Jong Curley,ICT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A00162948,Delores Stroup,LTM,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A03055334,Gina Osborne,IDS,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A07518046,Aleen Fuqua,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08821624,Celeste Wooley,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A01876498,Wm Godwin,LED,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00444021,Basilia Aguirre,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A04068445,Ahmed Potter,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09211980,Gladys Burrell,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02066323,Franklyn Stafford,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09200511,Loren Oliphant-Herron,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03846871,Fallon Cowart,NEG,,Acreditado(a),TEC21,Otro Campus
A05515191,Mindy Hummel,NEG,,Acreditado(a),TEC21,Otro Campus
A00602604,Rosy Alexander,AMC,,Acreditado(a),TEC21,Otro Campus
A08709543,Leona Duvall,ARQ,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A06386047,Kay Labelle,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09546824,Samara Mccormack,ITC,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A09845625,Wilma Robins,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00247032,Samira Pond,NEG,,Acreditado(a),TEC21,Otro Campus
A05494343,Riley Babb,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01355912,Gayla Forrester,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04086365,Alonso Spurgeon,ARQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01634906,Patience Huntington,IIT,,Acreditado(a),TEC21,Otro Campus
A04437197,King Greenlee,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A08258099,Bonnie Fennell,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06301697,Robt Vickers-Frazier,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A03249065,Marni Mattox,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02270627,Tessie Schumacher,LAD,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A05037551,Annelle Blue,ESC,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A09534594,Dallas Hogan,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02678104,Renaldo Stoll,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A08756338,Elena Jacobson,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A04717263,Melida Ashe,LDO,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A07621526,Lesley Peyton,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02610432,Janette Mccartney,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08312459,Darius Lau,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09666113,Pasquale Adair,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04197624,Chan Woodcock,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04006232,Treena Fuchs,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07845677,Sam Folse,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00536005,Jenelle Mccrory,IIT,,Acreditado(a),TEC21,Otro Campus
A04141278,Cristin Scully,IIT,,Acreditado(a),TEC21,Otro Campus
A05881102,Miguel Coker,ICT,,Acreditado(a),TEC21,Otro Campus
A09971183,Candi Chappell,IIS,Cuarto Semestre,Acreditado(a),TEC21,Otro Campus
A03461057,Delsie Moyer,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03182056,Lacie Hyde,ARQ,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A00482338,Jovan Jackman,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A03307486,Leonida Holcombe,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A06598073,Mina Hutcherson,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A03629456,Wanetta Andres,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06884977,Anjanette Irwin,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A06922791,Asha Alston,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02621249,Fred Ashworth,LTM,,Acreditado(a),TEC21,Otro Campus
A08280330,Artie Glover,LIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A01241477,Willene Cave,CIS,,Acreditado(a),TEC21,Otro Campus
A06778721,Mose Reyes,CIS,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A02774589,Marlene Trahan,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09624429,Felica Tomlinson,ARQ,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A03260547,Lizzette Baer,LAE,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A01610417,Cristen Ames,LTP,,Acreditado(a),TEC21,Otro Campus
A06070166,Barrett Cochrane-Tovar,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08632256,Nikole Olivarez,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06596172,Tori Carnahan,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04354246,Viviana Chambliss,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06650064,Denis Raney,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02230940,Vernia Eldridge,ICT,,Acreditado(a),TEC21,Otro Campus
A04389234,Flavia Vigil,CIS,,Acreditado(a),TEC21,Otro Campus
A03308692,Maryanna Matthews,NEG,,Acreditado(a),TEC21,Otro Campus
A03137419,Jeni Krebs,CIS,,Acreditado(a),TEC21,Otro Campus
A03975697,Genaro Milligan,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02119515,Shirlene Duval,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00813263,Malika Stump,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01534962,Dayna Clinton,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05223145,Paz Turley,ICT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A02868520,Stanley Phifer,IIS,,Acreditado(a),TEC21,Otro Campus
A08646551,Cher Smith,LAD,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A02280734,Joellen Marvin,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A09735331,Rosario Helton,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08867015,Yoko Alba,LC,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A01563697,Tiffanie Nesmith,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08269785,Emeline Joyner,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05376593,Willetta Whitlow,ARQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05049944,Irving Hawley,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09354701,Ruthe Damico,ESC,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03468147,Karrie Sandoval,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A08017972,Hilary Tam,ICT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05738138,Mikaela Hastings,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09696462,Earle Atwood,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04456803,Lee Pinckney,LDE,Cuarto Semestre,Acreditado(a),TEC21,Otro Campus
A00936796,Isa Maynard,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01597638,Cedric Chalmers,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09355958,Azucena Garrison,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02532726,Jeneva Ngo,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03134583,Sherry Cota,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A00600610,Aide Camara,ITC,Cuarto Semestre,Acreditado(a),TEC21,Otro Campus
A03819362,Deidre Lawton,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02155266,Ava Oakley,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03654032,Fransisca Denney,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09054725,Rodolfo Oconner,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02328318,Drusilla Furlong,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A04443231,Shin Passmore,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09261421,Roxana Montero,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A00706248,Jolie Brewer,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04178426,Isabelle Mckeown,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07633403,Edison Wirth,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A05076735,Caprice Nutt,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04455989,Delaine Cassidy,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A06982300,Fletcher Rankin,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A02941335,Robbin Felder,IBQ,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A07571508,Minnie Goddard,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01236408,Dorris Mckenney,IIT,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00751130,Art Gilbertson,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A01487611,Anissa Pitre,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A04955817,Gala Doherty,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A00755260,Tandra Westfall,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A09813498,Mira Chambers,ICT,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A03019282,Barb Treadway,LC,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A08189867,Lecia Billings,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A09125965,Palma Cooper,IIT,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A08179038,Maryjo Cooksey,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A03278154,Helga Gil,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A07859173,Donte Cheung,LTM,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A09462274,Johnathan Goodman,CIS,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09185914,Alisia Rodriguez,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A00675623,Man Vernon,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A08021500,Kristin Marroquin,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A05138224,Oretha Bui,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09164605,Hung Pipkin-Lightner,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A07022505,Eugenia Lattimore,LEM,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A02343163,Alease Venegas,NEG,Segundo Semestre,Acreditado(a),TEC21,Otro Campus
A01476100,Joannie Gomes,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A07461268,Maye Pulliam,IIT,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
A06325651,Angla Davies,NEG,Primer Semestre,Acreditado(a),TEC21,Otro Campus
A09363490,Kimberlee Swisher,LAF,Tercer Semestre,Acreditado(a),TEC21,Otro Campus
